A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
78.0,273.4004773184509,1.0,0.05417444693212291,283.5390127260879,1.5,0.529175342271549,109.66500342631971,10,0.5765998753034038,207.89125720280023,10,0.17258313894907704,265.29584515404224,1.5,0.9940894245937795,1.5,1.5,1.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,0,0,dikesnet
36.0,230.60197431380294,1.0,0.38489026889476174,195.22266830810395,1.0,0.4409844024994371,318.8377968975053,10,0.6714923532273773,60.319268706959186,1.0,0.9951345787899701,236.71485772652534,10,0.778226041067037,4.5,1.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,1,0,dikesnet
42.0,300.73199719549217,1.0,0.7533589701277398,152.78470757925624,1.5,0.9614308049979103,64.41373792383055,10,0.09211570540498536,164.41908043854534,1.5,0.017291510888505796,233.584311964413,1.5,0.34027145766887945,2.5,3.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,2,0,dikesnet
115.0,166.8372308517374,10,0.6537340127273247,42.37780902154718,10,0.9482320531147337,261.7861066810362,1.0,0.06749433393926235,75.98586343312533,1.0,0.21400141980237156,201.63620202489167,1.5,0.4999458404157206,1.5,1.5,2.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,3,0,dikesnet
18.0,202.52781405599038,1.0,0.18193346068089228,284.3914116963339,1.5,0.8089026978157831,37.2954687317916,10,0.11842706452845357,59.10496732416667,1.5,0.1249181202585363,307.2194332980518,10,0.4945591898749027,4.5,2.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,4,0,dikesnet
53.0,38.180732382547504,1.5,0.9528015062540115,134.56435970925497,1.0,0.8655940842517242,52.92488557565549,1.5,0.5381437065273615,341.5330804539671,1.0,0.6906620731488733,274.938581706199,10,0.744214951277146,4.5,4.5,3.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,5,0,dikesnet
38.0,336.9164967002264,10,0.6889200794919975,270.9914478091626,1.5,0.6453109744877379,315.4173416598524,1.5,0.395254852363822,69.27195185264401,1.0,0.9938996075866029,273.5744290422274,10,0.44371405491170746,2.5,3.5,3.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,6,0,dikesnet
86.0,336.67888483676603,10,0.575812483815178,167.46705613418374,10,0.02078489088591692,238.74839221094817,1.5,0.30778686125621796,238.19658568239225,1.5,0.3802494847696045,202.12485375312832,10,0.48052401700662933,2.5,3.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,7,0,dikesnet
120.0,121.37483269302118,1.5,0.9032637116637247,246.41889876426,1.0,0.6936092575881521,78.61120296262553,10,0.030406707815413582,257.6584962085951,10,0.27923834551105026,156.99739526522086,1.0,0.1757484938204697,3.5,4.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,8,0,dikesnet
35.0,103.61690109036864,10,0.16183566047037198,156.84117321764765,10,0.27481168661707084,228.84737035951431,1.5,0.04001270819913566,115.97559891485189,1.5,0.8983727558642802,49.898820789215385,1.5,0.5361271883241295,4.5,1.5,4.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,9,0,dikesnet
8.0,258.4434915098813,1.5,0.8963388893332979,318.44152582019007,1.0,0.09834249137059396,264.3008968628634,1.5,0.7384622032345699,183.17081694177426,10,0.30687270240400943,162.20600644478583,1.0,0.34778655305767664,2.5,2.5,2.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,10,0,dikesnet
106.0,221.59435972218998,1.5,0.07411017514346092,229.38949813463245,1.0,0.20926552255448405,179.2074707922375,1.0,0.3178933928872618,85.23874892045015,1.5,0.8640633897008022,146.22052545143117,1.5,0.4567773700363425,1.5,3.5,2.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,11,0,dikesnet
51.0,85.89692656199142,1.0,0.8873533597440644,263.2393297496359,1.5,0.26485253990667146,247.06354845301968,10,0.16234909663522412,178.9050103022487,10,0.1361553223526841,348.47403922765074,1.0,0.015062451782057933,3.5,4.5,3.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,5.0,1.0,9.0,7.0,5.0,7.0,10.0,0.0,3.0,10.0,5.0,4.0,4.0,2.0,12,0,dikesnet
